"","months_as_customer","age","policy_state","policy_csl","policy_deductable","policy_annual_premium","umbrella_limit","insured_sex","insured_education_level","insured_occupation","insured_hobbies","insured_relationship","capital.gains","capital.loss","incident_type","collision_type","incident_severity","authorities_contacted","incident_state","incident_city","incident_hour_of_the_day","number_of_vehicles_involved","property_damage","bodily_injuries","witnesses","police_report_available","total_claim_amount","injury_claim","property_claim","vehicle_claim","auto_make","auto_model","auto_year","fraud_reported"
"445",144,36,"IN","500/1000",2000,1255.68,6000000,"FEMALE","Associate","sales","reading","other-relative",23600,-15600,"Parked Car","?","Minor Damage","None","NC","Arlington",7,1,"NO",0,0,"?",7400,740,1480,5180,"Dodge","Neon",2014,"N"
"447",163,37,"IN","250/500",500,1178.95,6000000,"FEMALE","JD","priv-house-serv","dancing","own-child",0,-67300,"Single Vehicle Collision","Rear Collision","Total Loss","Fire","NY","Springfield",20,1,"YES",2,3,"YES",49400,4940,9880,34580,"Jeep","Wrangler",2005,"N"
"448",352,53,"IL","250/500",500,1793.16,0,"MALE","Associate","tech-support","exercise","wife",0,0,"Single Vehicle Collision","Front Collision","Minor Damage","Fire","NC","Riverwood",23,1,"YES",2,2,"NO",68750,12500,6250,50000,"Chevrolet","Malibu",2009,"N"
"449",27,32,"OH","100/300",500,1008.38,0,"FEMALE","PhD","adm-clerical","yachting","other-relative",37900,0,"Single Vehicle Collision","Front Collision","Total Loss","Ambulance","SC","Arlington",11,1,"NO",1,0,"?",61500,12300,6150,43050,"Dodge","Neon",2013,"N"
"450",239,39,"IL","100/300",500,1396.83,0,"FEMALE","Masters","other-service","reading","husband",0,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Ambulance","WV","Northbend",0,4,"?",0,3,"NO",76890,6990,13980,55920,"BMW","X6",2007,"N"
"451",33,32,"OH","100/300",500,1402.78,5000000,"FEMALE","PhD","other-service","base-jumping","husband",70300,-50300,"Single Vehicle Collision","Rear Collision","Minor Damage","Ambulance","NY","Northbrook",2,1,"YES",0,1,"?",56070,6230,12460,37380,"Toyota","Camry",2012,"N"
"452",88,30,"IN","100/300",1000,1437.88,0,"FEMALE","College","transport-moving","reading","husband",42800,-51200,"Single Vehicle Collision","Side Collision","Total Loss","Fire","SC","Northbrook",3,1,"NO",2,0,"YES",56000,14000,0,42000,"Chevrolet","Malibu",2003,"N"
"454",20,37,"IL","250/500",500,1482.14,0,"FEMALE","Associate","transport-moving","reading","husband",33000,-43600,"Multi-vehicle Collision","Rear Collision","Total Loss","Other","NY","Arlington",15,3,"?",2,1,"NO",60750,6750,6750,47250,"Suburu","Forrestor",2003,"N"
"455",126,30,"IL","250/500",2000,1171.75,0,"FEMALE","Associate","machine-op-inspct","board-games","not-in-family",46500,-42700,"Single Vehicle Collision","Side Collision","Minor Damage","Other","NY","Northbend",23,1,"?",2,3,"NO",48730,4430,4430,39870,"Chevrolet","Malibu",2011,"N"
"456",264,43,"IL","500/1000",2000,1353.33,0,"MALE","Associate","adm-clerical","video-games","not-in-family",0,-8500,"Multi-vehicle Collision","Front Collision","Minor Damage","Police","WV","Springfield",9,3,"YES",2,0,"NO",95150,17300,17300,60550,"Ford","Escape",2007,"N"
"457",78,24,"IN","100/300",500,1175.51,0,"MALE","Masters","craft-repair","yachting","husband",0,0,"Vehicle Theft","?","Minor Damage","Police","NY","Columbus",20,1,"?",0,1,"YES",7480,680,680,6120,"Dodge","Neon",2003,"N"
"462",410,54,"IL","100/300",2000,714.03,0,"MALE","MD","protective-serv","board-games","own-child",0,-17000,"Single Vehicle Collision","Side Collision","Minor Damage","Ambulance","WV","Northbend",0,1,"YES",0,2,"NO",59520,9920,9920,39680,"Honda","Accord",2001,"N"
"463",448,57,"IL","100/300",2000,1376.16,0,"FEMALE","PhD","tech-support","hiking","own-child",38600,-50300,"Multi-vehicle Collision","Front Collision","Major Damage","Police","SC","Arlington",10,3,"NO",2,1,"?",47760,5970,5970,35820,"Suburu","Impreza",2013,"Y"
"465",43,38,"OH","500/1000",1000,1601.47,0,"MALE","PhD","handlers-cleaners","skydiving","other-relative",64400,0,"Multi-vehicle Collision","Front Collision","Total Loss","Other","SC","Columbus",1,3,"YES",2,2,"?",61650,6850,6850,47950,"Nissan","Ultima",2006,"N"
"466",33,33,"IL","500/1000",1000,1096.79,6000000,"FEMALE","Associate","handlers-cleaners","dancing","unmarried",45500,-60600,"Single Vehicle Collision","Rear Collision","Major Damage","Police","VA","Springfield",16,1,"?",2,1,"?",81400,8140,8140,65120,"BMW","M5",1998,"N"
"467",126,34,"IN","100/300",2000,1078.22,0,"FEMALE","Masters","transport-moving","camping","wife",54500,0,"Multi-vehicle Collision","Side Collision","Major Damage","Fire","SC","Northbend",2,3,"NO",0,1,"YES",58410,10620,5310,42480,"Chevrolet","Tahoe",2007,"N"
"469",225,37,"OH","100/300",1000,1217.84,5000000,"FEMALE","High School","farming-fishing","yachting","not-in-family",49600,0,"Multi-vehicle Collision","Front Collision","Minor Damage","Fire","WV","Northbrook",19,3,"?",2,2,"NO",57600,9600,9600,38400,"Volkswagen","Passat",2015,"N"
"471",460,57,"OH","100/300",2000,1567.37,0,"FEMALE","JD","craft-repair","skydiving","husband",62500,0,"Single Vehicle Collision","Front Collision","Major Damage","Other","NY","Riverwood",10,1,"?",2,3,"NO",58300,5830,11660,40810,"Nissan","Maxima",2014,"Y"
"472",195,38,"IL","500/1000",2000,1294.93,6000000,"MALE","MD","tech-support","video-games","unmarried",38000,-50300,"Multi-vehicle Collision","Front Collision","Minor Damage","Ambulance","WV","Springfield",12,3,"YES",1,2,"NO",64620,7180,0,57440,"Dodge","Neon",2003,"N"
"473",360,51,"IL","250/500",1000,1152.12,0,"MALE","PhD","armed-forces","hiking","not-in-family",0,-62400,"Multi-vehicle Collision","Side Collision","Total Loss","Ambulance","WV","Riverwood",15,3,"NO",2,0,"YES",90480,15080,15080,60320,"BMW","X6",2000,"N"
"476",146,36,"OH","500/1000",2000,1233.96,0,"FEMALE","Masters","other-service","golf","other-relative",34500,-60600,"Multi-vehicle Collision","Side Collision","Total Loss","Police","NC","Hillsdale",16,3,"NO",1,1,"NO",55900,5590,5590,44720,"Nissan","Ultima",2015,"N"
"477",67,29,"IL","250/500",1000,1861.43,0,"MALE","High School","adm-clerical","polo","husband",60400,-67800,"Single Vehicle Collision","Rear Collision","Major Damage","Other","SC","Columbus",16,1,"NO",0,3,"YES",63800,6380,6380,51040,"Saab","92x",1998,"Y"
"478",380,56,"OH","100/300",1000,1570.86,0,"MALE","MD","farming-fishing","cross-fit","other-relative",66000,0,"Single Vehicle Collision","Side Collision","Total Loss","Police","VA","Northbend",10,1,"?",0,1,"YES",58160,7270,7270,43620,"Saab","95",1996,"Y"
"479",389,53,"IL","500/1000",2000,791.47,0,"MALE","Masters","armed-forces","chess","unmarried",0,0,"Vehicle Theft","?","Minor Damage","Police","NC","Riverwood",6,1,"NO",1,2,"NO",6300,630,1260,4410,"Mercedes","C300",2001,"Y"
"481",264,44,"IL","100/300",500,1047.06,6000000,"MALE","College","exec-managerial","sleeping","wife",0,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Fire","SC","Springfield",20,3,"NO",0,2,"NO",69850,12700,6350,50800,"Ford","Fusion",1999,"N"
"482",20,21,"OH","250/500",1000,1390.29,0,"FEMALE","Masters","priv-house-serv","polo","other-relative",0,-41200,"Single Vehicle Collision","Rear Collision","Minor Damage","Fire","PA","Northbrook",14,1,"NO",0,0,"?",62900,12580,6290,44030,"Accura","MDX",2006,"N"
"483",116,30,"IN","500/1000",500,951.46,0,"MALE","JD","handlers-cleaners","golf","not-in-family",0,-35500,"Multi-vehicle Collision","Front Collision","Major Damage","Other","WV","Riverwood",8,3,"NO",0,3,"?",59670,6630,6630,46410,"Volkswagen","Passat",2004,"Y"
"484",222,40,"IL","100/300",1000,1226.78,0,"MALE","JD","armed-forces","camping","unmarried",49600,-49200,"Multi-vehicle Collision","Rear Collision","Minor Damage","Other","NY","Springfield",17,2,"YES",2,0,"?",81500,16300,8150,57050,"BMW","3 Series",2013,"N"
"485",439,56,"OH","100/300",500,1280.9,0,"MALE","High School","armed-forces","video-games","own-child",48900,-40900,"Single Vehicle Collision","Rear Collision","Minor Damage","Ambulance","NC","Springfield",9,1,"NO",2,0,"?",50000,15000,5000,30000,"Jeep","Wrangler",2009,"N"
"486",66,28,"IN","100/300",2000,1472.77,0,"MALE","Associate","adm-clerical","exercise","husband",0,-31700,"Single Vehicle Collision","Front Collision","Total Loss","Other","NY","Springfield",0,1,"?",2,1,"?",48290,8780,8780,30730,"Nissan","Maxima",1995,"N"
"488",69,24,"IN","500/1000",500,1418.5,0,"FEMALE","High School","armed-forces","yachting","other-relative",0,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NY","Springfield",23,3,"?",0,0,"NO",63300,12660,6330,44310,"Dodge","RAM",2012,"N"
"489",294,46,"IL","100/300",500,1532.8,0,"MALE","College","prof-specialty","exercise","own-child",0,0,"Single Vehicle Collision","Side Collision","Total Loss","Other","SC","Northbend",8,1,"NO",0,3,"YES",65780,11960,11960,41860,"Mercedes","ML350",2013,"N"
"490",19,29,"OH","250/500",500,1304.35,0,"MALE","JD","transport-moving","cross-fit","not-in-family",0,0,"Multi-vehicle Collision","Front Collision","Total Loss","Ambulance","NY","Columbus",6,3,"NO",0,2,"?",75400,11600,11600,52200,"Dodge","Neon",2005,"Y"
"491",191,33,"OH","500/1000",2000,1551.61,0,"MALE","High School","armed-forces","movies","unmarried",45000,-30400,"Vehicle Theft","?","Minor Damage","None","WV","Arlington",3,1,"YES",1,1,"NO",2250,250,250,1750,"Toyota","Corolla",2005,"N"
"496",261,46,"IN","100/300",1000,870.55,0,"MALE","PhD","prof-specialty","camping","unmarried",0,-49400,"Single Vehicle Collision","Rear Collision","Minor Damage","Other","SC","Springfield",19,1,"?",0,3,"?",80280,13380,13380,53520,"Chevrolet","Tahoe",2013,"N"
"497",321,44,"IL","500/1000",2000,1344.56,6000000,"MALE","Associate","machine-op-inspct","hiking","husband",0,-39100,"Vehicle Theft","?","Trivial Damage","Police","NY","Northbend",7,1,"?",1,2,"NO",4680,520,0,4160,"Accura","MDX",1999,"N"
"499",405,58,"IL","250/500",500,1237.88,0,"MALE","MD","exec-managerial","exercise","not-in-family",0,-46900,"Single Vehicle Collision","Front Collision","Major Damage","Police","NY","Arlington",11,1,"?",0,0,"?",63580,5780,5780,52020,"Mercedes","ML350",1997,"Y"
"500",304,49,"IN","100/300",1000,1525.86,0,"FEMALE","PhD","craft-repair","camping","own-child",0,0,"Single Vehicle Collision","Side Collision","Minor Damage","Other","NC","Northbend",2,1,"YES",1,1,"YES",73370,13340,6670,53360,"Saab","95",2013,"N"
"501",1,29,"OH","500/1000",500,854.58,0,"FEMALE","JD","craft-repair","paintball","other-relative",52200,0,"Single Vehicle Collision","Side Collision","Minor Damage","Police","SC","Northbrook",15,1,"?",2,3,"YES",86790,7890,23670,55230,"Honda","CRV",2003,"N"
"503",202,38,"IL","100/300",2000,1132.74,0,"FEMALE","Associate","armed-forces","exercise","husband",0,-37500,"Single Vehicle Collision","Side Collision","Major Damage","Other","WV","Hillsdale",12,1,"YES",1,1,"NO",77440,7040,14080,56320,"Nissan","Ultima",2005,"N"
"505",61,26,"OH","100/300",2000,1188.28,6000000,"FEMALE","JD","farming-fishing","skydiving","wife",0,-53800,"Multi-vehicle Collision","Rear Collision","Major Damage","Fire","VA","Hillsdale",16,2,"YES",1,0,"NO",53820,11960,5980,35880,"Ford","F150",2015,"Y"
"506",334,46,"IL","100/300",1000,876.88,6000000,"MALE","MD","sales","reading","other-relative",0,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","WV","Hillsdale",2,1,"NO",2,1,"NO",57330,12740,6370,38220,"Jeep","Grand Cherokee",1998,"N"
"507",12,24,"IL","500/1000",1000,1143.95,0,"FEMALE","PhD","tech-support","paintball","other-relative",51400,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NY","Riverwood",13,3,"NO",2,1,"?",53370,5930,5930,41510,"Nissan","Ultima",2011,"N"
"510",126,30,"IL","500/1000",2000,916.13,0,"MALE","College","sales","golf","unmarried",55300,-58400,"Multi-vehicle Collision","Rear Collision","Total Loss","Police","NY","Northbend",16,3,"YES",2,0,"NO",74160,6180,12360,55620,"Mercedes","E400",2002,"N"
"511",209,38,"OH","250/500",500,1191.5,0,"MALE","High School","priv-house-serv","reading","husband",38600,-52900,"Single Vehicle Collision","Rear Collision","Total Loss","Police","WV","Arlington",8,1,"NO",2,0,"?",80100,8900,8900,62300,"Audi","A3",2015,"N"
"512",283,48,"OH","500/1000",1000,1474.66,0,"FEMALE","JD","sales","paintball","husband",0,-46200,"Parked Car","?","Trivial Damage","Police","NY","Hillsdale",9,1,"?",2,3,"NO",6560,820,820,4920,"Volkswagen","Jetta",2003,"N"
"513",194,34,"IL","250/500",1000,1193.45,0,"MALE","JD","other-service","hiking","not-in-family",0,0,"Single Vehicle Collision","Rear Collision","Total Loss","Ambulance","WV","Northbend",11,1,"?",2,1,"YES",58800,11760,5880,41160,"Nissan","Pathfinder",1997,"N"
"515",479,60,"IL","100/300",2000,1304.83,0,"FEMALE","College","other-service","cross-fit","husband",0,0,"Single Vehicle Collision","Rear Collision","Total Loss","Ambulance","NY","Arlington",18,1,"NO",0,0,"NO",60600,5050,10100,45450,"Honda","Civic",2001,"N"
"516",284,48,"OH","250/500",1000,1168.8,0,"FEMALE","JD","tech-support","movies","other-relative",0,-42400,"Single Vehicle Collision","Side Collision","Total Loss","Other","NY","Northbrook",11,1,"?",0,3,"YES",35750,6500,3250,26000,"Mercedes","E400",2001,"N"
"517",65,27,"IN","100/300",1000,1164.97,0,"FEMALE","College","adm-clerical","exercise","wife",43000,-42500,"Single Vehicle Collision","Front Collision","Total Loss","Ambulance","WV","Arlington",17,1,"?",1,2,"YES",42840,3570,7140,32130,"Chevrolet","Silverado",2004,"N"
"518",222,39,"IL","250/500",1000,1232.72,0,"MALE","High School","armed-forces","hiking","own-child",87800,-51200,"Multi-vehicle Collision","Front Collision","Major Damage","Fire","SC","Springfield",21,3,"?",1,0,"NO",87960,14660,14660,58640,"Jeep","Wrangler",1999,"Y"
"519",196,41,"IL","250/500",2000,1800.76,0,"MALE","JD","protective-serv","camping","other-relative",0,-78600,"Multi-vehicle Collision","Rear Collision","Minor Damage","Ambulance","SC","Hillsdale",0,3,"NO",1,0,"NO",47800,4780,4780,38240,"Jeep","Grand Cherokee",2009,"N"
"520",253,43,"IL","500/1000",500,1187.01,7000000,"FEMALE","Associate","tech-support","exercise","unmarried",46300,-33000,"Vehicle Theft","?","Trivial Damage","Police","NY","Northbrook",9,1,"NO",0,1,"?",3840,640,640,2560,"Chevrolet","Tahoe",2014,"N"
"522",5,26,"IL","250/500",2000,1137.02,0,"FEMALE","PhD","farming-fishing","skydiving","not-in-family",31500,0,"Single Vehicle Collision","Rear Collision","Total Loss","Ambulance","WV","Springfield",22,1,"YES",1,3,"?",88110,16020,16020,56070,"Audi","A5",2003,"N"
"523",220,42,"IN","100/300",1000,1281.72,0,"MALE","College","farming-fishing","hiking","other-relative",33500,-49500,"Multi-vehicle Collision","Rear Collision","Minor Damage","Fire","SC","Northbend",20,4,"NO",0,2,"YES",47740,4340,4340,39060,"Honda","Civic",2005,"N"
"524",85,30,"OH","100/300",1000,796.35,0,"FEMALE","MD","craft-repair","video-games","own-child",72400,-77000,"Multi-vehicle Collision","Rear Collision","Total Loss","Fire","SC","Northbend",9,3,"YES",2,1,"YES",58960,5360,10720,42880,"Ford","F150",2004,"N"
"525",266,46,"OH","250/500",500,1270.02,0,"FEMALE","Associate","tech-support","skydiving","own-child",0,-45800,"Parked Car","?","Minor Damage","Police","NC","Northbrook",5,1,"NO",1,2,"?",2160,480,240,1440,"Toyota","Corolla",2004,"N"
"530",15,34,"IN","250/500",2000,1586.41,0,"FEMALE","High School","sales","video-games","other-relative",33500,-58900,"Single Vehicle Collision","Front Collision","Major Damage","Police","WV","Northbrook",10,1,"YES",1,3,"?",75570,6870,13740,54960,"BMW","X5",2010,"Y"
"531",354,48,"IL","500/1000",2000,1526.11,5000000,"FEMALE","Masters","sales","exercise","unmarried",0,0,"Single Vehicle Collision","Front Collision","Minor Damage","Police","SC","Columbus",12,1,"?",2,3,"YES",90240,15040,15040,60160,"Chevrolet","Malibu",1995,"N"
"533",169,38,"IL","100/300",1000,1555.94,0,"MALE","PhD","craft-repair","skydiving","own-child",23300,0,"Multi-vehicle Collision","Front Collision","Total Loss","Other","VA","Riverwood",12,3,"NO",1,3,"YES",79080,6590,13180,59310,"Mercedes","C300",2012,"N"
"534",339,49,"IN","500/1000",2000,1570.77,0,"MALE","JD","adm-clerical","paintball","not-in-family",98800,-65300,"Vehicle Theft","?","Minor Damage","None","SC","Columbus",13,1,"NO",0,3,"NO",6820,1240,620,4960,"Mercedes","ML350",2009,"N"
"535",259,42,"OH","100/300",2000,1170.53,0,"FEMALE","PhD","armed-forces","sleeping","wife",65000,-49200,"Multi-vehicle Collision","Rear Collision","Total Loss","Fire","WV","Northbend",17,3,"NO",1,2,"YES",62590,5690,11380,45520,"Nissan","Pathfinder",2006,"N"
"537",254,46,"IL","250/500",2000,1472.43,0,"MALE","MD","tech-support","basketball","husband",0,-90600,"Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","WV","Arlington",3,3,"?",1,3,"YES",63580,5780,11560,46240,"Volkswagen","Jetta",2004,"N"
"539",478,63,"IL","250/500",1000,1292.3,0,"MALE","High School","adm-clerical","paintball","own-child",47600,0,"Parked Car","?","Minor Damage","None","VA","Northbend",5,1,"YES",1,3,"NO",4700,940,470,3290,"Dodge","Neon",2007,"Y"
"540",230,44,"IN","250/500",2000,1009.37,0,"FEMALE","College","prof-specialty","hiking","other-relative",45400,-39400,"Single Vehicle Collision","Front Collision","Total Loss","Fire","SC","Riverwood",19,1,"NO",0,2,"YES",74140,13480,13480,47180,"BMW","X5",2015,"N"
"541",138,30,"OH","500/1000",500,1093.07,4000000,"FEMALE","PhD","other-service","reading","wife",27700,-72400,"Single Vehicle Collision","Front Collision","Major Damage","Other","VA","Hillsdale",0,1,"?",2,2,"NO",83160,6930,13860,62370,"Volkswagen","Jetta",2011,"N"
"544",37,25,"OH","100/300",1000,1221.17,0,"FEMALE","Masters","protective-serv","golf","not-in-family",49300,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Ambulance","SC","Northbrook",4,3,"YES",0,0,"YES",51030,5670,11340,34020,"Suburu","Impreza",1996,"N"
"545",254,40,"IN","100/300",500,1927.87,0,"MALE","MD","prof-specialty","yachting","husband",0,0,"Single Vehicle Collision","Front Collision","Minor Damage","Fire","VA","Arlington",10,1,"YES",0,1,"?",43280,0,5410,37870,"Honda","Civic",1996,"Y"
"546",131,29,"IN","250/500",1000,978.27,0,"FEMALE","Associate","sales","paintball","own-child",65700,0,"Single Vehicle Collision","Front Collision","Major Damage","Fire","SC","Hillsdale",5,1,"?",1,3,"NO",76400,15280,7640,53480,"Suburu","Forrestor",2003,"N"
"547",230,43,"IN","100/300",2000,1221.14,0,"MALE","MD","prof-specialty","board-games","wife",48100,0,"Single Vehicle Collision","Side Collision","Total Loss","Ambulance","VA","Hillsdale",13,1,"?",0,2,"?",75460,13720,13720,48020,"Audi","A5",2002,"N"
"549",210,38,"IN","250/500",500,999.52,0,"MALE","JD","tech-support","golf","other-relative",0,0,"Vehicle Theft","?","Minor Damage","Police","VA","Springfield",6,1,"?",1,2,"NO",8640,1440,720,6480,"Accura","TL",2008,"N"
"550",101,29,"OH","250/500",500,1380.89,0,"MALE","PhD","armed-forces","dancing","own-child",30000,-53000,"Multi-vehicle Collision","Rear Collision","Minor Damage","Ambulance","SC","Arlington",0,3,"?",2,1,"?",67210,12220,12220,42770,"BMW","X6",1996,"N"
"551",153,37,"IN","500/1000",500,1010.77,0,"MALE","High School","transport-moving","basketball","unmarried",52300,-55600,"Multi-vehicle Collision","Side Collision","Total Loss","Ambulance","NC","Arlington",5,3,"?",0,3,"NO",42500,4250,4250,34000,"Volkswagen","Jetta",1999,"N"
"552",337,53,"OH","100/300",500,1205.86,0,"MALE","Associate","armed-forces","basketball","wife",0,-34600,"Single Vehicle Collision","Rear Collision","Minor Damage","Fire","SC","Arlington",8,1,"YES",0,1,"NO",86400,14400,7200,64800,"Accura","RSX",2001,"N"
"553",360,51,"IL","500/1000",1000,1526.61,0,"MALE","Masters","handlers-cleaners","chess","not-in-family",0,-32900,"Vehicle Theft","?","Minor Damage","Police","SC","Hillsdale",5,1,"YES",2,2,"?",4620,840,840,2940,"Dodge","RAM",2009,"Y"
"554",428,53,"IL","100/300",1000,1496.44,0,"FEMALE","High School","tech-support","camping","unmarried",0,0,"Parked Car","?","Trivial Damage","Police","NC","Springfield",9,1,"YES",2,2,"NO",6930,630,1260,5040,"Honda","CRV",2013,"N"
"556",364,51,"IL","100/300",500,1268.35,0,"MALE","Masters","transport-moving","board-games","wife",0,0,"Single Vehicle Collision","Rear Collision","Major Damage","Other","NY","Northbrook",16,1,"YES",2,1,"NO",77330,14060,14060,49210,"Volkswagen","Jetta",2014,"Y"
"557",185,35,"IN","500/1000",2000,1421.59,0,"MALE","College","other-service","sleeping","own-child",0,0,"Vehicle Theft","?","Trivial Damage","Police","WV","Arlington",8,1,"?",2,3,"YES",4950,900,450,3600,"Ford","F150",2011,"N"
"558",63,26,"IL","500/1000",500,1500.04,6000000,"MALE","PhD","craft-repair","polo","own-child",0,-36500,"Vehicle Theft","?","Minor Damage","Police","NC","Northbrook",5,1,"NO",0,2,"YES",5160,860,860,3440,"Accura","TL",2004,"N"
"559",210,35,"IL","100/300",500,1433.24,0,"FEMALE","College","exec-managerial","yachting","not-in-family",0,-19500,"Multi-vehicle Collision","Side Collision","Total Loss","Fire","WV","Riverwood",11,3,"NO",2,1,"?",24570,2730,2730,19110,"Saab","95",2006,"Y"
"564",251,39,"IN","500/1000",2000,1231.98,0,"FEMALE","Associate","other-service","hiking","not-in-family",0,-31700,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","NY","Hillsdale",10,1,"YES",0,0,"?",44240,5530,5530,33180,"Dodge","RAM",1997,"N"
"565",180,33,"IN","500/1000",2000,1005.47,0,"FEMALE","JD","protective-serv","hiking","own-child",58100,-49000,"Multi-vehicle Collision","Rear Collision","Minor Damage","Ambulance","VA","Columbus",12,4,"?",2,3,"YES",57700,11540,5770,40390,"Jeep","Grand Cherokee",2002,"N"
"567",143,30,"IN","100/300",500,1392.39,5000000,"FEMALE","High School","exec-managerial","dancing","unmarried",0,-65700,"Single Vehicle Collision","Rear Collision","Minor Damage","Fire","SC","Riverwood",16,1,"NO",2,0,"YES",54300,10860,5430,38010,"Toyota","Highlander",2010,"N"
"568",371,54,"IN","100/300",2000,1317.97,0,"MALE","High School","craft-repair","movies","wife",34700,-81000,"Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","SC","Columbus",18,3,"?",1,2,"?",32280,5380,5380,21520,"Ford","Fusion",2010,"Y"
"569",292,42,"IN","250/500",1000,1588.22,0,"MALE","JD","machine-op-inspct","camping","other-relative",0,-53800,"Multi-vehicle Collision","Rear Collision","Total Loss","Other","WV","Riverwood",15,3,"YES",1,1,"NO",84600,16920,8460,59220,"Chevrolet","Malibu",2007,"N"
"571",158,33,"OH","100/300",1000,1744.64,3000000,"MALE","JD","prof-specialty","movies","unmarried",0,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Ambulance","WV","Springfield",4,3,"NO",0,1,"NO",36400,3640,7280,25480,"Volkswagen","Jetta",1998,"N"
"573",103,33,"OH","500/1000",2000,1021.14,0,"FEMALE","Masters","other-service","paintball","wife",69500,-47700,"Multi-vehicle Collision","Side Collision","Major Damage","Ambulance","NY","Northbend",1,3,"NO",2,3,"?",79090,14380,14380,50330,"Dodge","RAM",2014,"N"
"574",402,54,"OH","250/500",2000,1285.09,0,"MALE","JD","farming-fishing","board-games","not-in-family",48000,-79600,"Single Vehicle Collision","Rear Collision","Major Damage","Other","NY","Springfield",19,1,"NO",0,2,"YES",67770,7530,15060,45180,"Mercedes","ML350",2013,"Y"
"575",102,32,"OH","100/300",500,1537.07,3000000,"MALE","JD","tech-support","chess","wife",0,0,"Single Vehicle Collision","Side Collision","Total Loss","Other","OH","Northbend",11,1,"NO",1,0,"NO",47400,9480,4740,33180,"Chevrolet","Silverado",2004,"Y"
"578",222,39,"OH","500/1000",500,1757.87,0,"MALE","High School","transport-moving","board-games","not-in-family",71400,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Other","SC","Northbrook",9,3,"YES",2,1,"?",55000,5000,10000,40000,"Saab","93",1996,"Y"
"579",415,52,"IN","250/500",1000,973.5,0,"MALE","PhD","machine-op-inspct","polo","not-in-family",50400,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Police","WV","Arlington",15,2,"YES",1,3,"YES",51090,7860,7860,35370,"Toyota","Highlander",2003,"N"
"580",51,34,"OH","500/1000",500,1430.8,0,"MALE","PhD","machine-op-inspct","camping","unmarried",0,0,"Single Vehicle Collision","Side Collision","Major Damage","Fire","NY","Springfield",23,1,"?",2,3,"NO",64200,6420,19260,38520,"Honda","Civic",2007,"Y"
"581",255,45,"IL","500/1000",500,1192.27,0,"MALE","High School","sales","base-jumping","own-child",0,-40200,"Single Vehicle Collision","Front Collision","Total Loss","Other","NC","Riverwood",16,1,"NO",2,0,"YES",67320,12240,12240,42840,"Ford","Fusion",2006,"N"
"583",130,28,"OH","500/1000",1000,1003.15,0,"FEMALE","JD","farming-fishing","movies","other-relative",0,-38500,"Multi-vehicle Collision","Front Collision","Minor Damage","Ambulance","SC","Hillsdale",21,2,"YES",2,1,"NO",85020,13080,13080,58860,"Ford","Fusion",2010,"N"
"584",242,41,"OH","250/500",2000,1153.54,6000000,"MALE","Masters","protective-serv","polo","unmarried",0,-57000,"Multi-vehicle Collision","Rear Collision","Minor Damage","Fire","NY","Northbrook",3,3,"NO",0,1,"?",68090,12380,12380,43330,"Toyota","Corolla",2009,"N"
"585",96,27,"IL","100/300",1000,1631.1,0,"FEMALE","High School","priv-house-serv","exercise","wife",0,0,"Parked Car","?","Trivial Damage","Police","WV","Arlington",4,1,"?",1,2,"NO",6030,670,670,4690,"Nissan","Pathfinder",2007,"N"
"586",180,35,"IL","500/1000",1000,1252.48,0,"MALE","MD","machine-op-inspct","yachting","wife",0,-55800,"Vehicle Theft","?","Minor Damage","None","OH","Springfield",17,1,"?",1,3,"NO",5100,1020,510,3570,"Chevrolet","Malibu",2000,"N"
"587",150,30,"IN","100/300",1000,1677.26,0,"MALE","College","sales","yachting","own-child",40100,0,"Vehicle Theft","?","Trivial Damage","Police","WV","Springfield",7,1,"YES",1,3,"YES",4590,510,510,3570,"Volkswagen","Jetta",2013,"N"
"588",463,59,"IL","250/500",1000,979.73,0,"FEMALE","JD","exec-managerial","yachting","not-in-family",51700,0,"Multi-vehicle Collision","Front Collision","Major Damage","Other","SC","Columbus",14,2,"?",1,2,"NO",72400,7240,14480,50680,"Chevrolet","Tahoe",1999,"Y"
"590",75,25,"IL","500/1000",1000,1389.86,0,"FEMALE","Associate","priv-house-serv","hiking","husband",0,0,"Multi-vehicle Collision","Side Collision","Total Loss","Other","WV","Springfield",23,2,"?",2,3,"YES",65100,6510,6510,52080,"Saab","93",2011,"N"
"591",193,40,"OH","100/300",500,1233.85,0,"FEMALE","College","handlers-cleaners","chess","husband",0,0,"Multi-vehicle Collision","Side Collision","Total Loss","Ambulance","PA","Hillsdale",23,3,"?",2,1,"YES",64260,0,14280,49980,"Ford","Escape",1999,"N"
